problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,Grover,6,8,0.00525799999999996,0.0023338846967615313,10,100000.0,5.225451119999961e-08,0.0007380391437977842,0.000228592456568452,0.000772629464217982
MaxClique,Grover,6,9,0.00228699999999996,0.001135821288759808,10,100000.0,2.28060854999996e-08,0.0003591782287388798,0.00015101683846511818,0.0003896345537808456
MaxClique,Grover,6,10,0.00100799999999997,0.0005379756293530336,10,100000.0,1.0067234599999701e-08,0.00017012283144181222,0.00010033560983020785,0.00019750699323765466
MaxClique,Grover,6,11,0.00040299999999997006,0.00027117235191745283,10,100000.0,4.027714099999699e-09,8.57522270523879e-05,6.346427420210286e-05,0.00010668251283337859
MaxClique,Grover,6,12,0.00017499999999999,0.00012222474744866298,10,100000.0,1.7495592999999006e-09,3.8650858837662904e-05,4.182773362256077e-05,5.69512790803582e-05
MaxClique,Grover,8,2,0.568443,0.03391301685521681,10,100000.0,2.4428047231e-06,0.010724237559016582,0.0015629474473250853,0.010837530897087305
MaxClique,Grover,8,3,0.3082329999999999,0.038834043784631365,10,100000.0,2.1186814305e-06,0.012280402911414046,0.0014555691088024643,0.01236636474867075
MaxClique,Grover,8,4,0.16136099999999998,0.03093560855497537,10,100000.0,1.3446231699e-06,0.009782698383711241,0.0011595788761011472,0.009851183220129778
MaxClique,Grover,8,5,0.08232299999999997,0.021254324553422587,10,100000.0,7.513935198999995e-07,0.006721207571725651,0.0008668295795022223,0.0067768742604627265
MaxClique,Grover,8,6,0.04115199999999997,0.013163703295214641,10,100000.0,3.930255811999997e-07,0.004162728485554214,0.0006269175234430759,0.004209671486665496
MaxClique,Grover,8,7,0.02019799999999995,0.00769720844058276,10,100000.0,1.973671847999995e-07,0.002434071029731435,0.00044426026696070797,0.0024742815043114733
MaxClique,Grover,8,8,0.009943999999999962,0.00443567406877968,10,100000.0,9.827409179999961e-08,0.0014026833015490163,0.0003134869882467207,0.0014372872142492774
MaxClique,Grover,8,9,0.00487999999999994,0.002447088973544756,10,100000.0,4.850796179999941e-08,0.0007738374793484952,0.00022024523104939052,0.0008045697025394582
MaxClique,Grover,8,10,0.00234999999999997,0.001374336203408776,10,100000.0,2.34277757999997e-08,0.0004346032673600198,0.00015306134652484833,0.00046076867927410665
MaxClique,Grover,8,11,0.00114299999999994,0.0007697770239924837,10,100000.0,1.14116024999994e-08,0.00024342486862823296,0.0001068251023870298,0.00026583316039702773
MaxClique,Grover,8,12,0.0005379999999999601,0.0004314008190379968,10,100000.0,5.3754305999996006e-09,0.00013642091726221987,7.331732810188598e-05,0.0001548744564693127
MaxClique,X,4,2,0.5122859999999999,0.004421408021082041,10,100000.0,2.4983146024e-06,0.0013981719811557022,0.0015806057707094454,0.0021102605268754995
MaxClique,X,4,3,0.18204799999999993,0.0050047617325903,10,100000.0,1.4888398281999996e-06,0.0015826446221435897,0.001220180244144282,0.0019984003173038243
MaxClique,X,4,4,0.05250599999999996,0.0033067614233735065,10,100000.0,4.973927875999996e-07,0.0010456897776640632,0.0007052607940329588,0.0012612929472216666
MaxClique,X,4,5,0.01323899999999999,0.0016050991661991987,10,100000.0,1.306141016999999e-07,0.0005075769235626618,0.0003614057300320512,0.000623095847388936
MaxClique,X,4,6,0.0030619999999999597,0.0004930584819944099,10,100000.0,3.05240535999996e-08,0.00015591878227674553,0.00017471134365003207,0.00023416814528595212
MaxClique,X,4,7,0.00066299999999997,0.00019476766786211716,10,100000.0,6.625262899999701e-09,6.159094450034679e-05,8.139571794633733e-05,0.00010207206936495652
MaxClique,X,4,8,0.00012899999999997,6.190494505467179e-05,10,100000.0,1.2897990999997e-09,1.9576062480033957e-05,3.591377312396596e-05,4.090258331966201e-05
MaxClique,X,4,9,3.0000000000000004e-05,2.1081851067789197e-05,10,100000.0,2.9998700000000004e-10,6.666666666666667e-06,1.7320132793948205e-05,1.8558864309123134e-05
