metric,problem,mixer,N,model,weighted_sse,params,perr,best,n_points_fit,include_zeros_in_fit
inc_prop,ThreeSAT,Grover,6,exp_quadratic,45.37393877016241,0.6230100746513314;0.12948784989419215,0.040749522273995233;0.0053775398286421234,False,11,False
inc_prop,ThreeSAT,Grover,6,exp_over_power,164.4004286622827,0.99999999999999467;0.83846489344202257;4.9207086311647497e-14,0.23533509780650683;0.089356606639856132;0.45302791207263315,False,11,False
inc_prop,ThreeSAT,Grover,6,exp_decay,164.40042868374272,0.99999999999999989;0.83846445038475792,0.1255405189870589;0.019202206858509045,False,11,False
inc_prop,ThreeSAT,Grover,6,power_law,455.20471621219866,0.99999999999999989;3.8573874318677785,0.43026801363097855;0.19522925659564255,False,11,False
inc_prop,ThreeSAT,Grover,8,stretched_exp,8.417704435021452,0.99999999999999989;0.3649281596145808;1.3990170804702731,0.23360246579104546;0.10620441483725918;0.12801218924690383,True,11,False
inc_prop,ThreeSAT,Grover,8,exp_quadratic,31.192383384794876,0.64812822248073798;0.12656232032901527,0.049404534066295407;0.0070039420126364483,False,11,False
inc_prop,ThreeSAT,Grover,8,exp_decay,122.26261429155464,0.99999999999999989;0.81322434167592439,0.14039401904377974;0.021209006590007618,False,11,False
inc_prop,ThreeSAT,Grover,8,exp_over_power,122.262614294069,0.99999999999999989;0.81322215238835815;1.287367738275901e-15,0.27204969256198541;0.10443094556392198;0.54104987896020151,False,11,False
inc_prop,ThreeSAT,Grover,8,power_law,333.94569773567304,0.99999999999999989;3.794461464718661,0.48173577606048296;0.21898588591986179,False,11,False
inc_prop,ThreeSAT,X,4,stretched_exp,94.80581812083837,0.99999999999999989;0.17785094631671727;2.001679821164152,0.053021129687552765;0.022145584611086764;0.075954935001339013,True,11,False
inc_prop,ThreeSAT,X,4,exp_quadratic,94.81273601049051,0.99999999999999989;0.17813317414940935,0.012172814765889939;0.0023354537093349579,False,11,False
inc_prop,ThreeSAT,X,4,exp_decay,14331.569631127688,0.99999999999999989;0.84422349765483051,0.019841819656985976;0.0037829270409750469,False,11,False
inc_prop,ThreeSAT,X,4,exp_over_power,14331.569631230412,0.99999999999999989;0.84422351449197075;3.0559139185328576e-16,0.040712781294074865;0.023685912340113763;0.1121275947931567,False,11,False
inc_prop,ThreeSAT,X,4,power_law,25274.8359291731,0.99999999999999989;3.7152364758138674,0.053394900160369831;0.027379318935302294,False,11,False
inc_prop,ThreeSAT,X,6,stretched_exp,64.53506051336382,0.99999999999999989;0.18570579284496627;1.9695211167283446,0.076784438611636446;0.031884840570657401;0.10288613911549947,True,10,False
inc_prop,ThreeSAT,X,6,exp_quadratic,65.44043468803315,0.99999999999998002;0.18011059093308598,0.019370452802845974;0.0033970105893642356,False,10,False
inc_prop,ThreeSAT,X,6,exp_decay,5152.21355198358,0.99999999999999989;0.89947499415667864,0.038082836406818393;0.0067027979402468135,False,10,False
inc_prop,ThreeSAT,X,6,exp_over_power,5152.213558702256,0.99999999999999989;0.8994536431117075;3.8908488472475135e-19,0.076757072291762901;0.041945256061159564;0.20081823178275601,False,10,False
inc_prop,ThreeSAT,X,6,power_law,8724.688039279918,0.99999999999999989;3.9680091606509369,0.11280910433132092;0.05628965927567367,False,10,False
inc_prop,ThreeSAT,X,8,stretched_exp,120.13671296824317,0.99999999999999989;0.18970940056860583;1.9237874117779752,0.056039889160115569;0.023647513632340467;0.073040536274940074,True,11,False
inc_prop,ThreeSAT,X,8,exp_quadratic,131.42198790066684,0.99193040613214345;0.17424809200640318,0.013821465320804803;0.0024264475497794355,False,11,False
inc_prop,ThreeSAT,X,8,exp_decay,8191.199727381909,0.99999999999999989;0.82930249389111277,0.024821466653563811;0.0046465231322884186,False,11,False
inc_prop,ThreeSAT,X,8,exp_over_power,8191.1997358227245,0.99999999999999989;0.82930058993210365;4.0992933558953396e-16,0.047288651622900087;0.024977511227442215;0.11891682156408701,False,11,False
inc_prop,ThreeSAT,X,8,power_law,15278.894580422388,0.99999999999999989;3.7162371432783763,0.06970471542101099;0.034885509993569735,False,11,False
mono_prop,MaxClique,Grover,4,stretched_exp,87705.781306058,0.99999999999999989;0.00022709197831792983;4.9999999999999991,0.00028260614126278258;1.429742136826318e-05;0.035517766367168052,True,11,False
mono_prop,MaxClique,Grover,4,exp_quadratic,9053820.956748541,0.99999999999999989;0.027460221003167477,5.220917318748512e-05;6.2486857165429467e-06,False,11,False
mono_prop,MaxClique,Grover,4,exp_decay,89743177.61613047,0.99999999999999989;0.19370390117624572,8.2783275164394088e-05;2.2347958696240817e-05,False,11,False
mono_prop,MaxClique,Grover,4,exp_over_power,89743177.87938076,0.99999999999999989;0.19370662137979464;3.1413900368966943e-18,0.0007966945008249203;0.00044757719153524302;0.0024305037166875388,False,11,False
