problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,Grover,6,12,0.00020299999999999,0.00011304374767712455,10,100000.0,2.0294728999999e-09,3.574757179010821e-05,4.5049671474938635e-05,5.750966691686572e-05
MaxClique,Grover,8,2,0.999814,0.00011177358065898001,10,100000.0,1.8595416000001949e-09,3.534590971149209e-05,4.3122402530473585e-05,5.575728592151115e-05
MaxClique,Grover,8,3,0.482795,0.013151695496948088,10,100000.0,2.4954831758999997e-06,0.004158931286333601,0.0015797098391476833,0.004448841716710594
MaxClique,Grover,8,4,0.22968299999999994,0.017206361904830415,10,100000.0,1.7666226650999998e-06,0.005441129386441746,0.001329143583327249,0.005601117001554238
MaxClique,Grover,8,5,0.10790799999999993,0.01492043922499153,10,100000.0,9.606350597999993e-07,0.004718257164109072,0.0009801199211321027,0.004818981814290917
MaxClique,Grover,8,6,0.050687999999999955,0.010433048771412276,10,100000.0,4.802076299999995e-07,0.0032992197057284196,0.0006929701508723153,0.0033712102124706968
MaxClique,Grover,8,7,0.02359899999999991,0.0066290764397798985,10,100000.0,2.3002537009999914e-07,0.002096298033306451,0.0004796096017595969,0.0021504629302883816
MaxClique,Grover,8,8,0.01118399999999994,0.0040205505427324964,10,100000.0,1.1044369799999944e-07,0.0012714097162860826,0.0003323307057736306,0.0013141257035256012
MaxClique,Grover,8,9,0.005292999999999931,0.0023143708048240846,10,100000.0,5.26016346999993e-08,0.0007318683093441115,0.00022935046261126073,0.0007669633999886875
MaxClique,Grover,8,10,0.00249999999999994,0.0013258791632557053,10,100000.0,2.4921678399999404e-08,0.000419279805804626,0.00015786601407522584,0.0004480147697962248
MaxClique,Grover,8,11,0.0011939999999999401,0.0007525541693312413,10,100000.0,1.1920646599999402e-08,0.0002379785237742756,0.0001091817136703734,0.0002618289983515631
MaxClique,Grover,8,12,0.00054799999999996,0.0004304209825533721,10,100000.0,5.475329599999601e-09,0.00013611106575962521,7.39954701316209e-05,0.0001549243422520187
MaxClique,X,4,2,1.0,9.791246743253677e-17,10,100000.0,7.771561172376094e-22,3.09626408413875e-17,2.787751992623464e-11,2.7877519926251832e-11
MaxClique,X,4,3,0.34845899999999996,0.004246474223792423,10,100000.0,2.2701909602999997e-06,0.0013428530572379637,0.0015067152884005656,0.0020182778038796705
MaxClique,X,4,4,0.09910399999999991,0.003293084336066178,10,100000.0,8.927263721999994e-07,0.0010413647028992494,0.0009448419826616509,0.0014061176396889562
MaxClique,X,4,5,0.02459399999999997,0.00150954886564755,10,100000.0,2.398708429999997e-07,0.00047736126547697654,0.0004897661105058206,0.000683918577593693
MaxClique,X,4,6,0.005553999999999911,0.0005478077521661176,10,100000.0,5.52288299999991e-08,0.00017323202167419697,0.00023500814879488563,0.0002919557557804411
MaxClique,X,4,7,0.0011469999999999,0.0002248480968713589,10,100000.0,1.1456388899999002e-08,7.110321136676739e-05,0.00010703452200107684,0.0001284992434478359
MaxClique,X,4,8,0.00022399999999995001,6.883151732874669e-05,10,100000.0,2.2394555999995003e-09,2.176643695641883e-05,4.732288664060446e-05,5.208870681613487e-05
MaxClique,X,4,9,4.5e-05,2.5495097567963924e-05,10,100000.0,4.499739e-10,8.06225774829855e-06,2.1212588243776382e-05,2.2693036376827143e-05
MaxClique,X,4,10,9e-06,7.378647873726219e-06,10,100000.0,8.999869999999999e-11,2.3333333333333336e-06,9.486764464241747e-06,9.769500726467265e-06
MaxClique,X,4,11,1.0000000000000002e-06,3.1622776601683796e-06,10,100000.0,9.9999e-12,1e-06,3.1622618487405498e-06,3.316609714753908e-06
MaxClique,X,4,12,1.0000000000000002e-06,3.1622776601683796e-06,10,100000.0,9.9999e-12,1e-06,3.1622618487405498e-06,3.316609714753908e-06
MaxClique,X,6,2,1.0,9.791246743253677e-17,10,100000.0,5.551115123125781e-22,3.09626408413875e-17,2.3560804576936207e-11,2.356080457695655e-11
