problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,Grover,5,18,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,19,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,20,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,2,5,21260232,100000,1.000e-12,false,50240,49760,0,0.50239999999999996,0.49759999999999999,0.0015811206152599492,0.001581120615259949
SK,X,5,3,5,21260232,100000,1.000e-12,false,21847,20047,58106,0.21847,0.20047000000000001,0.0013066784573872794,0.0012660244037932286
SK,X,5,4,5,21260232,100000,1.000e-12,false,8323,7099,84578,0.083229999999999998,0.070989999999999998,0.00087351455110948209,0.00081209863871330309
SK,X,5,5,5,21260232,100000,1.000e-12,false,2991,2262,94747,0.029909999999999999,0.022620000000000001,0.00053865937195968292,0.00047019501911440962
SK,X,5,6,5,21260232,100000,1.000e-12,false,1012,656,98332,0.010120000000000001,0.0065599999999999999,0.00031650569663119811,0.00025528349731230183
SK,X,5,7,5,21260232,100000,1.000e-12,false,313,188,99499,0.00313,0.0018799999999999999,0.00017664096636963919,0.00013698414506796032
SK,X,5,8,5,21260232,100000,1.000e-12,false,96,54,99850,0.00096000000000000002,0.00054000000000000001,9.7932548215595827e-05,7.3464848737338318e-05
SK,X,5,9,5,21260232,100000,1.000e-12,false,20,11,99969,0.00020000000000000001,0.00011,4.4716887190411634e-05,3.3164423709752596e-05
SK,X,5,10,5,21260232,100000,1.000e-12,false,3,0,99997,3.0000000000000001e-05,0,1.7320248266119051e-05,0
SK,X,5,11,5,21260232,100000,1.000e-12,false,1,0,99999,1.0000000000000001e-05,0,9.999949999874999e-06,0
SK,X,5,12,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,13,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,14,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,15,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,16,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,17,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,18,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,19,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,20,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,2,5,21260232,100000,1.000e-12,false,47228,52772,0,0.47227999999999998,0.52771999999999997,0.0015787070709919555,0.0015787070709919557
SK,Grover,5,3,5,21260232,100000,1.000e-12,false,17764,30299,51937,0.17763999999999999,0.30298999999999998,0.0012086522676104984,0.0014532276487185343
SK,Grover,5,4,5,21260232,100000,1.000e-12,false,6597,16556,76847,0.065970000000000001,0.16556000000000001,0.0007849710765372187,0.0011753717981983405
